sample,score,fault,predicted_fault
0,0.647916899101505,0,0
1,1.182108104715104,0,0
2,1.064697672997443,0,0
3,0.763196410057992,0,0
4,2.95320164852337,0,0
5,2.892589825487732,0,0
6,2.3694219837588757,0,0
7,1.3335450518386616,0,0
8,1.0673075844182516,0,0
9,1.0551933955493007,0,0
10,2.496689076362753,0,0
11,0.3060941699131464,0,0
12,0.4882575704066396,0,0
13,2.0657274178269702,0,0
14,3.358623753290148,0,0
15,1.1896080856215185,0,0
16,3.498138047238399,0,0
17,2.4018344377699545,0,0
18,0.6552030303958467,0,0
19,1.8816079813106767,0,0
20,2.737321499543674,0,0
21,1.9176556193166978,0,0
22,1.3385770768198826,0,0
23,1.0817776742022065,0,0
24,2.2956145382487056,0,0
25,2.5539945131611783,0,0
26,0.3836056143689413,0,0
27,1.59657647958374,0,0
28,0.8741179418876994,0,0
29,1.204643437747968,0,0
30,1.5542932514581886,0,0
31,3.676199330443559,0,0
32,2.3980557016851223,0,0
33,2.8462944922740365,0,0
34,1.080218132013182,0,0
35,1.394797577142271,0,0
36,3.0521709454307984,0,0
37,0.5107112618723921,0,0
38,0.7901791153959861,0,0
39,4.09364463578926,0,0
40,1.0736737415700346,0,0
41,3.003492879931154,0,0
42,1.6918603072324123,0,0
43,0.4661800846644378,0,0
44,2.0672127334885726,0,0
45,1.3957478790319457,0,0
46,1.8758980821963631,0,0
47,2.690257523745301,0,0
48,2.705000616442429,0,0
49,0.8947939092319115,0,0
50,2.604264386421702,0,0
51,0.9395665597278808,0,0
52,1.7810373101206736,0,0
53,1.049840379363636,0,0
54,2.6354751836126535,0,0
55,1.3811626268327446,0,0
56,2.2942165224130107,0,0
57,3.799142429452531,0,0
58,0.7484421444207826,0,0
59,1.6172263843266181,0,0
60,0.9451702702765006,0,0
61,0.4488571057862926,0,0
62,1.1014345855160306,0,0
63,3.255262304446502,0,0
64,0.9654937708990183,0,0
65,0.5671589770338235,0,0
66,1.567423157805842,0,0
67,1.7075583918930293,0,0
68,2.282948756459642,0,0
69,1.2887324214698144,0,0
70,1.5572767507415977,0,0
71,2.323309812319693,0,0
72,2.5710047048098024,0,0
73,0.3939483359953781,0,0
74,2.463135300226428,0,0
75,1.040079040865967,0,0
76,1.297292711440048,0,0
77,2.560300986563941,0,0
78,2.6535066238908263,0,0
79,0.9903008778438278,0,0
80,1.183767750586032,0,0
81,4.953859230880469,0,0
82,1.669562429543098,0,0
83,2.155292987697472,0,0
84,2.9035432769278713,0,0
85,2.319873837228168,0,0
86,2.557883266655997,0,0
87,1.8395460119860247,0,0
88,2.6527684739096284,0,0
89,1.2904958316140138,0,0
90,1.287155613761829,0,0
91,2.5660612205213784,0,0
92,2.7779472936699667,0,0
93,2.5301350829925044,0,0
94,1.331735193140147,0,0
95,2.081494559087808,0,0
96,2.6973255102733487,0,0
97,2.828001405393244,0,0
98,1.5560748170442016,0,0
99,2.2552825205546654,0,0
100,0.5652929646813951,0,0
101,3.678511847187906,0,0
102,1.6378986423787305,0,0
103,0.7143732175444338,0,0
104,1.6043900322759086,0,0
105,2.69941258175885,0,0
106,0.8796112978899087,0,0
107,2.3269709232617,0,0
108,0.30033914613081214,0,0
109,2.7522335908301265,0,0
110,0.44452560830419025,0,0
111,0.9659939614884184,0,0
112,3.543362525269507,0,0
113,0.9731436527311229,0,0
114,1.755164105828035,0,0
115,1.1399419377842053,0,0
116,0.18449815303532474,0,0
117,2.9008720113026847,0,0
118,1.690100131636757,0,0
119,2.827870905410524,0,0
120,2.702415502129389,0,0
121,1.1634882762189431,0,0
122,1.7462537253547261,0,0
123,2.5935045354358444,0,0
124,1.4626561228355506,0,0
125,0.49620958410652705,1,0
126,3.104698318149507,1,0
127,1.9938076672695495,1,0
128,0.8675788745581813,1,0
129,2.9142104603745898,1,0
130,1.0563411765248472,1,0
131,1.6186149716570186,1,0
132,2.4832628157463588,1,0
133,0.2977263415444306,1,0
134,2.2551979520922205,1,0
135,1.4730970121073672,1,0
136,3.1906562849139872,1,0
137,1.2180139233123963,1,0
138,1.1136002839676842,1,0
139,2.3530399863447204,1,0
140,2.563560961471747,1,0
141,2.970697137634733,1,0
142,2.1524292475034783,1,0
143,2.5002777844963164,1,0
144,1.8979301163420341,1,0
145,1.0026364616392214,1,0
146,2.89158726933573,1,0
147,4.1240605616938115,1,0
148,1.8087007295611164,1,0
149,2.563328008066205,1,0
150,2.4973994076346435,1,0
151,2.233398715380514,1,0
152,2.0584146847983344,1,0
153,2.5531058960581774,1,0
154,0.7622842653791819,1,0
155,2.318069301725437,1,0
156,2.2437857655770337,1,0
157,2.869330066762718,1,0
158,4.186887219910415,1,0
159,1.451752805529417,1,0
160,0.4595235692012613,1,0
161,2.3700446602244147,1,0
162,0.3931011951070955,1,0
163,3.0460973503991338,1,0
164,1.8219427975501954,1,0
165,0.5710574852391153,1,0
166,1.002506665580623,1,0
167,0.9590593520452759,1,0
168,1.4200165487249181,1,0
169,0.8607174375399225,1,0
170,3.0705672461757048,1,0
171,0.9127515950364609,1,0
172,1.3034957442314532,1,0
173,2.298271505967713,1,0
174,2.110735581975526,1,0
175,2.415377593970463,1,0
176,2.050093140953576,1,0
177,1.825377629617607,1,0
178,2.2816874715912507,1,0
179,2.389072824375679,1,0
180,1.312813045892552,1,0
181,0.6867606268421177,1,0
182,1.8136249172528582,1,0
183,2.1928589392427646,1,0
184,2.047387247712853,1,0
185,0.6947960702947473,1,0
186,1.9501724809904846,1,0
187,1.1395014058239015,1,0
188,1.4074440398119152,1,0
189,0.4708530460858429,1,0
190,0.5487234543807281,1,0
191,1.8642011070042876,1,0
192,3.7007004487514923,1,0
193,1.0221166080844306,1,0
194,4.312122429378718,1,0
195,2.472056956575129,1,0
196,0.44543170101231105,1,0
197,0.5446899921316417,1,0
198,4.0017386605930865,1,0
199,2.1053101081479526,1,0
200,1.9872475784952228,1,0
201,0.7923087108906639,1,0
202,2.33151278593955,1,0
203,1.806332458599978,1,0
204,2.2356963800834966,1,0
205,1.4680175262100184,1,0
206,2.055507691407339,1,0
207,3.076544261299029,1,0
208,1.1675843753521589,1,0
209,2.860121675745215,1,0
210,3.339194817518759,1,0
211,0.7662422764603481,1,0
212,0.5076601183274223,1,0
213,0.9013626536292993,1,0
214,0.4580339131303185,1,0
215,1.3688884528785155,1,0
216,1.9075422426031556,1,0
217,0.8952704991018985,1,0
218,0.4590142362628357,1,0
219,1.1888457529554988,1,0
220,3.246207555409071,1,0
221,1.5450218167213257,1,0
222,1.5244623732688996,1,0
223,0.4902530165331266,1,0
224,3.403781311568892,1,0
225,2.561616554401709,1,0
226,0.3015668589461608,1,0
227,1.297729164943905,1,0
228,2.2316175453583975,1,0
229,2.1565893813132386,1,0
230,2.635222838860842,1,0
231,3.2173389735372573,1,0
232,2.6338625863892235,1,0
233,1.6856381085886296,1,0
234,0.8440316167640329,1,0
235,1.1647465715156005,1,0
236,2.0586703925162184,1,0
237,2.4119317498968083,1,0
238,1.5063533251174868,1,0
239,2.8115961637505493,1,0
240,0.9274171323130959,1,0
241,1.604845425448719,1,0
242,1.587993799550498,1,0
243,2.0013932031498824,1,0
244,0.8569305840842542,1,0
245,1.042534197376272,1,0
246,2.8971156146642683,1,0
247,1.994379446976274,1,0
248,5.736575557951445,1,0
249,1.3637488143951433,1,0
250,0.48295163394831786,0,0
251,1.611915603542779,0,0
252,0.031283438237710584,0,0
253,0.7543288464745374,0,0
254,0.23410593381256178,0,0
255,0.4975215943212446,0,0
256,0.7351012527709277,0,0
257,0.4978640219673145,0,0
258,1.1953904648928955,0,0
259,2.703453923581759,0,0
260,0.09911280736949186,0,0
261,0.42333833719023123,0,0
262,0.210018399907962,0,0
263,2.316334581162146,0,0
264,1.0573199836206701,0,0
265,0.4264879871887147,0,0
266,0.7493421470448216,0,0
267,0.7265511088287596,0,0
268,0.8122948686893828,0,0
269,1.1876939471686387,0,0
270,1.2850237134173275,0,0
271,1.5441918636699452,0,0
272,0.11624170166350135,0,0
273,0.11677860823021492,0,0
274,0.4464551149696251,0,0
275,0.4327657081782951,0,0
276,1.6902908863357278,0,0
277,2.0899836355438794,0,0
278,0.07650740911764797,0,0
279,0.5218485950640812,0,0
280,2.271039953126522,0,0
281,2.106612842937878,0,0
282,0.5029677055777003,0,0
283,1.4080440733472865,0,0
284,0.1658686251836619,0,0
285,0.06597990030450972,0,0
286,0.21302700596823743,0,0
287,0.4273212594043186,0,0
288,0.20165699482718533,0,0
289,0.5330111762629477,0,0
290,0.12683936231728993,0,0
291,1.8126617651275265,0,0
292,0.8506026289820909,0,0
293,0.04777435685430383,0,0
294,1.8311807428614837,0,0
295,0.82048913182142,0,0
296,2.020201469100477,0,0
297,0.38657538342468933,0,0
298,0.11285418329177947,0,0
299,0.19525504380119152,0,0
300,1.362299981503269,0,0
301,0.3577167878787574,0,0
302,0.19980062388585082,0,0
303,0.502744168807396,0,0
304,0.7931860650331009,0,0
305,0.2531888254220434,0,0
306,0.21946327059576426,0,0
307,1.4690890397234764,0,0
308,0.194287106283475,0,0
309,0.2321849217754854,0,0
310,0.18244082657808924,0,0
311,0.4884969894953477,0,0
312,2.765597418444848,0,0
313,0.4779361828390948,0,0
314,0.17774690257847595,0,0
315,0.9476613971099075,0,0
316,0.582604082889721,0,0
317,0.98377418557026,0,0
318,0.4125465980064762,0,0
319,0.1354889450723839,0,0
320,0.1833994559911776,0,0
321,3.0446007349756954,0,0
322,0.19131282298650268,0,0
323,0.37951201022954795,0,0
324,1.4020469477195054,0,0
325,0.14785801023814274,0,0
326,1.0791438639508395,0,0
327,0.42440018909658567,0,0
328,0.9792089669588918,0,0
329,0.6663330724076204,0,0
330,1.056366790731066,0,0
331,2.4699705685250524,0,0
332,0.1444360198282717,0,0
333,1.8402141754309458,0,0
334,0.5282342849273222,0,0
335,0.20305201080260268,0,0
336,0.6577615893417788,0,0
337,0.8587000305788813,0,0
338,0.1833614900647465,0,0
339,0.12730930286208225,0,0
340,1.4925266851949748,0,0
341,0.318593552647165,0,0
342,0.04631501896258645,0,0
343,0.058310502711261564,0,0
344,1.4169455208005586,0,0
345,0.7402779386208345,0,0
346,0.5439790821578464,0,0
347,2.6453256457973096,0,0
348,0.1485548871275922,0,0
349,0.1122733137618871,0,0
350,0.5929894160130044,0,0
351,0.22683596844411175,0,0
352,0.7667477159963535,0,0
353,0.2207117876459553,0,0
354,0.08677877486872453,0,0
355,1.74664518154956,0,0
356,0.1413799482793408,0,0
357,1.8827462686132248,0,0
358,0.6349558829639234,0,0
359,0.09244626957599747,0,0
360,0.42399126744520255,0,0
361,0.6924466193581365,0,0
362,0.08279380780624773,0,0
363,0.04576819760491055,0,0
364,0.6700688289294122,0,0
365,0.44635140350490343,0,0
366,0.18272343313549624,0,0
367,0.09166799066488265,0,0
368,2.764567412528723,0,0
369,0.14311081576078657,0,0
370,0.06168750075289557,0,0
371,0.5652906386380385,0,0
372,1.3127504013015716,0,0
373,0.7983737913892837,0,0
374,0.5601673851767082,0,0
375,0.8839358071582727,1,0
376,0.8075466652651963,1,0
377,0.7888131722710677,1,0
378,0.2615908989854563,1,0
379,0.33683657479132595,1,0
380,1.565626884250963,1,0
381,0.689956321125207,1,0
382,1.3408272941077808,1,0
383,0.5618861097572366,1,0
384,0.75162660594866,1,0
385,1.1534464106937132,1,0
386,1.0238788392953604,1,0
387,1.2333851178195794,1,0
388,0.20948824910635458,1,0
389,1.0241423037822868,1,0
390,1.3232619238822039,1,0
391,0.6964892164079528,1,0
392,0.3601696317910878,1,0
